revenue_usd_millions,pitchbook_valuation_usd_millions,pitchbook_primary_industry_group,pitchbook_primary_industry_sector,pitchbook_verticals,pitchbook_hq_location,pitchbook_hq_country,pitchbook_last_financing_date,pitchbook_last_financing_size_usd_millions,pitchbook_last_financing_deal_type,employee_count_pitchbook,employee_count_linkedin_scraped,employee_count_crunchbase_range,company_size_category,crunchbase_revenue_range,crunchbase_industry_tags,crunchbase_industry_category,total_funding_usd,num_funding_rounds,avg_round_size_usd,total_investors,latest_funding_type,latest_funding_date,months_since_last_funding,funding_stage_encoded,country,state_region,city,founded_year,company_age_years,is_public,ipo_date,ipo_exchange,ipo_ticker,revenue_tier,is_pe_backed,num_pe_investors,ml_predicted_revenue,ml_prediction_confidence
1000.0,128.0,Software,Information Technology,"SaaS, Real Estate Technology, TMT","Solon, OH",United States,2024-11-05,744.59,Debt - General,3975.0,4065.0,c_01001_05000,Large,r_00100000,,"Information Technology, Property Management, PropTech, Real Estate, Software",16000000,4,8000000,5,debt_financing,2021-08-18,51.0,1.0,United States,Ohio,Solon,,,False,,,,Scale-up,True,2,292570638.0,0.8
22.3,24.72,Software,Information Technology,SaaS,"Austin, TX",United States,2025-03-26,291.4,Debt Refinancing,1299.0,1287.0,c_01001_05000,Large,r_00100000,,"Information Technology, Software",0,0,0,0,,,,,United States,Texas,Austin,,,False,,,,Scale-up,True,3,79403960.0,0.6
24.2,30.01,Software,Information Technology,"TMT, SaaS","Chicago, IL",United States,2024-12-31,0.2,Debt - General,197.0,167.0,c_00101_00250,Small,r_00050000,,"Software, Other, Information Technology, Information Services, Professional Services, Real Time, SaaS, Task Management",117113168,4,29278292,8,private_equity,2022-01-20,46.0,6.0,United States,Illinois,Chicago,,,False,,,,Growth Stage,True,2,51733960.0,0.9
201.1,1000.0,Software,Information Technology,"TMT, SaaS","Boston, MA",United States,2024-01-05,21.72,Debt - General,1091.0,1066.0,c_01001_05000,Large,r_00010000,,"Sales and Marketing, Media and Entertainment, Hardware, Consumer Electronics, Computer, Content, Digital Marketing, Enterprise Software, Information Technology, Open Source, SaaS, Software",173500000,10,24785714,15,secondary_market,2018-08-14,87.0,6.0,United States,Massachusetts,Boston,,,False,,,,Growth Stage,True,3,170772355.0,0.9
31.28,,Software,Information Technology,"SaaS, FinTech, TMT","Milwaukee, WI",United States,2021-05-03,,Buyout/LBO,134.0,27.0,c_00501_01000,Medium,r_00010000,,"Financial Services, FinTech, SaaS, Software",0,0,0,0,,,,,United States,Wisconsin,Milwaukee,,,False,,,,Growth Stage,True,1,14713003.0,0.6
3.5,215.0,Software,Information Technology,Cybersecurity,"Plano, TX",United States,2023-03-23,0.11,Debt - General,303.0,301.0,c_00251_00500,Medium,r_00050000,,"Privacy and Security, Cyber Security, Information Services, Information Technology, Network Security",255000000,2,127500000,2,private_equity,2022-04-12,43.0,6.0,United States,Texas,Plano,,,False,,,,Growth Stage,True,1,57760797.0,0.9
270.0,1993.4,Software,Information Technology,"TMT, Construction Technology","Austin, TX",United States,2019-05-27,,Accelerator/Incubator,1136.0,1066.0,c_01001_05000,Large,r_00100000,,"Other, Internet Services, Information Technology, Health Care, Energy, Administrative Services, Energy Management, Facilities Support Services, Internet of Things, Management Information Systems, Medical Device, Productivity Tools, Project Management, SaaS, Software",74640000,7,12440000,9,private_equity,2013-11-25,144.0,6.0,United States,Texas,Austin,,,False,,,,Scale-up,True,3,170772355.0,0.9
3.79,148.0,Software,Information Technology,TMT,"Ashburn, VA",United States,2012-02-29,148.0,Merger/Acquisition,100.0,10.0,c_00051_00100,Small,,,"Internet Services, Data and Analytics, Analytics, Search Engine, Software",0,0,0,0,,,,,United States,Virginia,Ashburn,2006.0,19.0,False,,,,,True,1,14525674.0,0.6
441.41,1800.0,Software,Information Technology,"FinTech, InsurTech, SaaS","University Park, IL",United States,2025-09-03,305.0,Debt - Acquisition,2700.0,2689.0,c_05001_10000,Enterprise,r_00100000,,"Financial Services, Insurance, Software",0,2,0,4,series_unknown,2018-10-16,85.0,1.0,United States,Illinois,University Park,,,False,,,,Scale-up,True,4,200786692.0,0.6
100.0,800.0,Software,Information Technology,"SaaS, Artificial Intelligence & Machine Learning, Big Data, Cybersecurity","Mountain View, CA",United States,2023-12-10,,Later Stage VC,437.0,436.0,c_00251_00500,Medium,r_00100000,,"Privacy and Security, Information Technology, Cyber Security, Network Security, Security",250816894,7,50163378,12,series_e,2020-11-12,60.0,5.0,United States,California,Mountain View,,,False,,,,Scale-up,True,2,66942902.0,0.9
